economy_code,economy,year,population_1jan,Real GDP PPP 2021 USD,output_to_kstock,delta,Gross national savings,9th Outlook
17_SGP,Singapore,2022,5534.051,760028.410066194,0.2392853130394533,0.0587096810340881,41.9202431450759,752780.1356157485
17_SGP,Singapore,2023,5765.718,771050.857055831,0.2341021557567607,0.0587050914764404,37.8776158568895,769744.1640827503
17_SGP,Singapore,2024,5812.461,812252.052277036,,,40.4512885852667,789926.8330959294
17_SGP,Singapore,2025,5852.313,853074.8819270959,,,39.9756209143373,809483.8129961772
17_SGP,Singapore,2026,5889.187,,,,,829889.2786389937
17_SGP,Singapore,2027,5922.308,,,,,850562.4181550156
17_SGP,Singapore,2028,5956.784,,,,,875077.0758972822
17_SGP,Singapore,2029,5989.912,,,,,896449.788743351
17_SGP,Singapore,2030,6018.264,,,,,917387.2831457652
17_SGP,Singapore,2031,6044.491,,,,,938555.773461204
17_SGP,Singapore,2032,6072.318,,,,,959671.0672002692
17_SGP,Singapore,2033,6098.129,,,,,980821.3048427178
17_SGP,Singapore,2034,6124.177,,,,,1001971.2932654828
17_SGP,Singapore,2035,6145.385,,,,,1023119.8960075256
17_SGP,Singapore,2036,6161.08,,,,,1043647.1079896612
17_SGP,Singapore,2037,6172.62,,,,,1063997.9741898174
17_SGP,Singapore,2038,6183.805,,,,,1084212.371472446
17_SGP,Singapore,2039,6192.304,,,,,1104252.8641684705
17_SGP,Singapore,2040,6195.539,,,,,1124117.4954463262
17_SGP,Singapore,2041,6194.024,,,,,1143799.7369353871
17_SGP,Singapore,2042,6188.634,,,,,1163217.483557607
17_SGP,Singapore,2043,6182.134,,,,,1182378.729846104
17_SGP,Singapore,2044,6174.429,,,,,1201365.8989070158
17_SGP,Singapore,2045,6161.921,,,,,1220188.7142227776
17_SGP,Singapore,2046,6150.454,,,,,1238831.437270516
17_SGP,Singapore,2047,6136.765,,,,,1257317.8955891083
17_SGP,Singapore,2048,6119.563,,,,,1275653.3211910834
17_SGP,Singapore,2049,6106.852,,,,,1293831.39367425
17_SGP,Singapore,2050,6090.563,,,,,1311872.866911883
17_SGP,Singapore,2051,6072.82,,,,,1329785.2364165692
17_SGP,Singapore,2052,6056.236,,,,,1347592.6102349677
17_SGP,Singapore,2053,6044.328,,,,,1365303.9341143302
17_SGP,Singapore,2054,6028.74,,,,,1382904.1516583485
17_SGP,Singapore,2055,6008.249,,,,,1400432.905030958
17_SGP,Singapore,2056,5990.229,,,,,1417920.8756854038
17_SGP,Singapore,2057,5972.718,,,,,1435346.0160176186
17_SGP,Singapore,2058,5955.683,,,,,1452723.1518410018
17_SGP,Singapore,2059,5934.097,,,,,1470074.1656862542
17_SGP,Singapore,2060,5913.977,,,,,1487399.62122959
17_SGP,Singapore,2061,5889.475,,,,,1504708.7670166907
17_SGP,Singapore,2062,5867.268,,,,,1522071.3762222491
17_SGP,Singapore,2063,5843.629,,,,,1539401.270309951
17_SGP,Singapore,2064,5822.037,,,,,1556758.387431004
17_SGP,Singapore,2065,5796.463,,,,,1574117.9579294813
17_SGP,Singapore,2066,5766.213,,,,,1591496.0189043365
17_SGP,Singapore,2067,5734.564,,,,,1608920.6883262373
17_SGP,Singapore,2068,5707.293,,,,,1626393.0443166895
17_SGP,Singapore,2069,5677.52,,,,,1643912.6727424136
17_SGP,Singapore,2070,5646.138,,,,,1661497.68636511
17_SGP,Singapore,2071,5616.432,,,,,1679122.0645914844
17_SGP,Singapore,2072,5584.074,,,,,1696829.5199265266
17_SGP,Singapore,2073,5549.752,,,,,1714610.9121237204
17_SGP,Singapore,2074,5512.532,,,,,1732444.9811738145
17_SGP,Singapore,2075,5468.734,,,,,1750383.0804560063
17_SGP,Singapore,2076,5423.311,,,,,1768458.455481524
17_SGP,Singapore,2077,5381.662,,,,,1786673.548972808
17_SGP,Singapore,2078,5335.785,,,,,1805028.957920284
17_SGP,Singapore,2079,5287.561,,,,,1823498.3741920253
17_SGP,Singapore,2080,5235.884,,,,,1842120.9498631663
17_SGP,Singapore,2081,5183.492,,,,,1860930.925221441
17_SGP,Singapore,2082,5129.259,,,,,1879889.75760899
17_SGP,Singapore,2083,5073.733,,,,,1899080.9623209203
17_SGP,Singapore,2084,5018.63,,,,,1918492.887938212
17_SGP,Singapore,2085,4963.844,,,,,1938126.5362805007
17_SGP,Singapore,2086,4907.318,,,,,1957951.2536338584
17_SGP,Singapore,2087,4849.442,,,,,1978003.3671597329
17_SGP,Singapore,2088,4792.673,,,,,1998300.892582287
17_SGP,Singapore,2089,4736.975,,,,,2018858.581358366
17_SGP,Singapore,2090,4678.935,,,,,2039719.211516594
17_SGP,Singapore,2091,4623.589,,,,,2060850.1781714903
17_SGP,Singapore,2092,4568.972,,,,,2082286.9652171656
17_SGP,Singapore,2093,4518.313,,,,,2104049.3825476994
17_SGP,Singapore,2094,4467.109,,,,,2126161.150981292
17_SGP,Singapore,2095,4414.803,,,,,2148718.0215171883
17_SGP,Singapore,2096,4365.459,,,,,2171644.8197514666
17_SGP,Singapore,2097,4316.827,,,,,2195003.029482805
17_SGP,Singapore,2098,4270.327,,,,,2218803.873956504
17_SGP,Singapore,2099,4224.55,,,,,2243088.0335716973
17_SGP,Singapore,2100,4182.766,,,,,2267837.762261282
18_CT,Chinese Taipei,1990,20508.591,366441.497138,0.218298270645187,0.0472240597009659,,368812.0573048219
18_CT,Chinese Taipei,1991,20681.221,397129.155606,0.2159679076912484,0.0476748608052731,,399697.25595351687
18_CT,Chinese Taipei,1992,20882.279,430137.743751,0.2130293716477529,0.0482437647879124,,432917.4431387128
18_CT,Chinese Taipei,1993,21081.897,459432.78719,0.2075969998397719,0.0487179011106491,,462398.53217652254
18_CT,Chinese Taipei,1994,21267.467,493921.744844,0.2038310693652289,0.0488918162882328,,497104.83219725743
18_CT,Chinese Taipei,1995,21446.813,526007.831958,0.1992016620451973,0.0489970147609711,,529395.3178915484
18_CT,Chinese Taipei,1996,21622.177,558497.228625,0.1957163737092572,0.0491385459899902,,562094.2720288082
18_CT,Chinese Taipei,1997,21796.376,592311.2169809999,0.1918304460765995,0.0495736449956894,,596125.4742339327
18_CT,Chinese Taipei,1998,21974.281,617223.019612,0.185260655369512,0.0503067076206207,,621197.9855364126
18_CT,Chinese Taipei,1999,22124.171,658750.5450119999,0.1845047374452064,0.0510550551116467,,662993.0578774413
18_CT,Chinese Taipei,2000,22283.391,700368.407437,0.183367239053427,0.0518939085304737,,704879.7817889776
18_CT,Chinese Taipei,2001,22382.348,690553.3457139999,0.1741798902396768,0.0524253472685814,,695003.8422181174
18_CT,Chinese Taipei,2002,22510.167,728414.26938,0.1775786430792563,0.052430521696806,,733092.8342981817
18_CT,Chinese Taipei,2003,22623.636,759193.98852,0.1794152449538863,0.0523935183882713,,764070.72084677
18_CT,Chinese Taipei,2004,22704.613,811952.0481060001,0.1845799971094534,0.0527130626142025,,817165.6192343051
18_CT,Chinese Taipei,2005,22786.249,855651.4243200001,0.1877098142702847,0.0532840080559254,,861146.9987824006
18_CT,Chinese Taipei,2006,22863.614,905060.125647,0.1921216615861536,0.0537483207881451,,910874.4693939716
18_CT,Chinese Taipei,2007,22965.654,967022.389502,0.1990409591139868,0.0542128048837185,,973239.2524765368
18_CT,Chinese Taipei,2008,23048.194,974760.273081,0.1969853999713787,0.0545832887291908,,981030.3787283292
18_CT,Chinese Taipei,2009,23124.284,959041.85288,0.1918984511595282,0.0546572804450989,,965217.798685495
18_CT,Chinese Taipei,2010,23204.438,1057282.461494,0.2070960913307925,0.0548872761428356,,1064092.438285152
18_CT,Chinese Taipei,2011,23243.66,1096127.2858000002,0.2108608978430251,0.0552551709115505,,1103197.5595818823
18_CT,Chinese Taipei,2012,23302.493,1120475.56128,0.2122083876570046,0.0554392486810684,,1127709.5524632465
18_CT,Chinese Taipei,2013,23389.429,1148313.127078,0.2133923326424442,0.0556525103747845,,1155732.774944884
18_CT,Chinese Taipei,2014,23444.32,1202486.862746,0.2190607608197796,0.0559752024710178,,1210262.2705479965
18_CT,Chinese Taipei,2015,23501.311,1220088.898644,0.2179800626978439,0.0562955252826214,,1227984.8890246132
18_CT,Chinese Taipei,2016,23557.197,1246517.59826,0.2181886730852548,0.0566626526415348,,1254585.7160012112
18_CT,Chinese Taipei,2017,23615.088,1292138.861139,0.2213256133560384,0.057071965187788,,1296107.322367856
18_CT,Chinese Taipei,2018,23650.808,1329698.413503,0.2231914713492324,0.0574653446674347,,1332243.2638323286
18_CT,Chinese Taipei,2019,23667.802,1370313.777089,0.2242905805976337,0.0580572560429573,,1373051.7001463785
18_CT,Chinese Taipei,2020,23680.473,1417175.254078,0.2256750260677316,0.0588141493499279,,1419166.4219305802
18_CT,Chinese Taipei,2021,23646.445,1512408.876,0.2322862328293007,0.0598368719220161,,1512408.876
18_CT,Chinese Taipei,2022,23470.22,1553039.7201,0.2296852210448276,0.0612089335918427,,1562507.290572872
18_CT,Chinese Taipei,2023,23370.002,1569835.73794,0.2268760675298888,0.0622629299759865,,1606918.743414963
18_CT,Chinese Taipei,2024,23264.288,1652536.0098,,,,1641154.378087411
18_CT,Chinese Taipei,2025,23163.636,1795919.7249919998,,,,1674116.1901646634
